a,a,b_lasting,b_notLasting,Lasting_percent,Non_lasting_percent,ratio,count of words in all
you,you,10.0,30.0,5.29100529101,4.23728813559,1.24867724868,40
i,i,11.0,23.0,5.82010582011,3.24858757062,1.79158040028,34
me,me,6.0,19.0,3.1746031746,2.68361581921,1.18295739348,25
love,love,3.0,18.0,1.5873015873,2.54237288136,0.624338624339,21
my,my,3.0,11.0,1.5873015873,1.55367231638,1.02164502165,14
be,be,2.0,9.0,1.0582010582,1.27118644068,0.832451499118,11
up,up,2.0,7.0,1.0582010582,0.988700564972,1.07029478458,9
what,what,1.0,8.0,0.529100529101,1.12994350282,0.468253968254,9
do,do,1.0,8.0,0.529100529101,1.12994350282,0.468253968254,9
dont,dont,1.0,7.0,0.529100529101,0.988700564972,0.53514739229,8
wanna,wanna,3.0,5.0,1.5873015873,0.706214689266,2.24761904762,8
u,u,3.0,4.0,1.5873015873,0.564971751412,2.80952380952,7
your,your,2.0,5.0,1.0582010582,0.706214689266,1.49841269841,7
best,best,2.0,5.0,1.0582010582,0.706214689266,1.49841269841,7
this,this,1.0,5.0,0.529100529101,0.706214689266,0.749206349206,6
no,no,1.0,5.0,0.529100529101,0.706214689266,0.749206349206,6
